"Date","Price","Open","High","Low","Vol.","Change %"
"04-05-2026","77,269.40","77,257.27","77,910.10","76,939.60","69.16M","0.46%"
"30-04-2026","76,913.50","77,014.21","77,254.33","76,258.86","27.86M","-0.75%"
"29-04-2026","77,496.36","77,245.83","77,982.51","77,136.20","17.88M","0.79%"
"28-04-2026","76,886.91","77,094.79","77,493.53","76,741.06","16.84M","-0.54%"
"27-04-2026","77,303.63","76,856.05","77,420.04","76,754.20","21.20M","0.83%"
"24-04-2026","76,664.21","77,483.80","77,710.82","76,403.87","14.13M","-1.29%"
"23-04-2026","77,664.00","77,983.66","78,178.54","77,574.18","24.87M","-1.09%"
"22-04-2026","78,516.49","79,019.34","79,031.03","78,442.30","16.86M","-0.95%"
"21-04-2026","79,273.33","78,617.16","79,367.08","78,522.96","10.88M","0.96%"
"20-04-2026","78,520.30","78,632.90","78,942.45","78,203.30","13.24M","0.03%"
"17-04-2026","78,493.54","77,976.13","78,553.45","77,726.23","14.24M","0.65%"
"16-04-2026","77,988.68","78,677.56","78,730.32","77,674.93","33.88M","-0.16%"
"15-04-2026","78,111.24","77,981.10","78,270.42","77,849.52","15.79M","1.64%"
"13-04-2026","76,847.57","75,937.16","77,063.41","75,868.32","19.30M","-0.91%"
"10-04-2026","77,550.25","77,121.01","77,622.50","76,851.16","16.24M","1.20%"
"09-04-2026","76,631.65","77,319.33","77,429.33","76,347.90","35.47M","-1.20%"
"08-04-2026","77,562.90","77,290.63","77,635.54","77,042.15","27.61M","3.95%"
"07-04-2026","74,616.58","73,734.36","74,686.32","73,282.41","13.37M","0.69%"
"06-04-2026","74,106.85","73,477.53","74,207.46","72,728.66","13.97M","1.07%"
"02-04-2026","73,319.55","72,262.05","73,568.54","71,545.81","32.97M","0.25%"
"01-04-2026","73,134.32","73,762.43","73,964.58","72,971.68","20.56M","1.65%"
"30-03-2026","71,947.55","72,565.22","73,165.32","71,774.13","26.57M","-2.22%"
"27-03-2026","73,583.22","74,883.79","74,904.91","73,534.41","28.82M","-2.25%"
"25-03-2026","75,273.45","74,652.01","75,849.76","74,550.47","31.00M","1.63%"
"24-03-2026","74,068.45","74,212.47","74,489.39","73,084.46","20.66M","1.89%"
"23-03-2026","72,696.39","73,732.58","73,732.58","72,558.44","19.28M","-2.46%"
"20-03-2026","74,532.96","74,559.38","75,286.39","74,385.04","19.04M","0.44%"
"19-03-2026","74,207.24","74,750.92","75,354.18","73,950.95","30.96M","-3.26%"
"18-03-2026","76,704.13","76,367.55","77,000.22","76,187.92","19.34M","0.83%"
"17-03-2026","76,070.84","75,826.68","76,304.26","75,324.73","35.17M","0.75%"
"16-03-2026","75,502.85","74,415.79","75,805.27","73,949.76","16.66M","1.26%"
"13-03-2026","74,563.92","75,444.22","75,576.20","74,454.60","18.55M","-1.93%"
"12-03-2026","76,034.42","76,369.65","76,681.71","75,871.18","22.66M","-1.08%"
"11-03-2026","76,863.71","78,238.91","78,324.37","76,759.26","16.37M","-1.72%"
"10-03-2026","78,205.98","78,375.73","78,526.25","77,745.47","22.02M","0.82%"
"09-03-2026","77,566.16","77,056.75","77,711.35","76,424.55","16.62M","-1.71%"
"06-03-2026","78,918.90","79,658.99","79,753.03","78,812.18","18.08M","-1.37%"
"05-03-2026","80,015.90","79,530.48","80,303.83","79,201.69","22.23M","1.14%"
"04-03-2026","79,116.19","78,528.82","79,527.41","78,443.20","21.79M","-1.40%"
"02-03-2026","80,238.85","78,543.73","80,632.55","78,543.73","30.63M","-1.29%"
"27-02-2026","81,287.19","82,220.48","82,246.17","81,159.15","15.80M","-1.17%"
"26-02-2026","82,248.61","82,418.78","82,579.16","81,970.47","122.46M","-0.03%"
"25-02-2026","82,276.07","82,530.12","82,957.91","82,132.63","19.21M","0.06%"
"24-02-2026","82,225.92","83,052.54","83,079.51","81,934.73","20.17M","-1.28%"
"23-02-2026","83,294.66","82,906.83","83,486.15","82,906.83","20.29M","0.58%"
"20-02-2026","82,814.71","82,272.49","83,132.08","82,206.21","19.55M","0.38%"
"19-02-2026","82,498.14","83,969.82","83,979.36","82,264.20","13.39M","-1.48%"
"18-02-2026","83,734.25","83,553.59","83,770.05","83,163.62","20.78M","0.34%"
"17-02-2026","83,450.96","83,197.67","83,598.00","82,987.43","13.40M","0.21%"
"16-02-2026","83,277.15","82,480.40","83,333.49","82,276.95","33.83M","0.79%"
"13-02-2026","82,626.76","82,902.73","83,079.70","82,534.55","30.24M","-1.25%"
"12-02-2026","83,674.92","83,968.43","84,061.62","83,516.67","36.82M","-0.66%"
"11-02-2026","84,233.64","84,339.15","84,487.34","84,081.25","23.88M","-0.05%"
"10-02-2026","84,273.92","84,210.00","84,482.95","84,063.47","45.48M","0.25%"
"09-02-2026","84,065.75","84,177.51","84,314.68","83,860.42","14.62M","0.58%"
"06-02-2026","83,580.40","83,249.32","83,612.12","82,925.35","16.06M","0.32%"
"05-02-2026","83,313.93","83,757.54","83,784.17","83,151.62","25.03M","-0.60%"
"04-02-2026","83,817.69","83,252.06","83,947.53","83,119.95","19.85M","0.09%"
"03-02-2026","83,739.13","85,323.20","85,871.73","83,501.22","19.82M","2.54%"
"02-02-2026","81,666.46","80,555.68","81,732.25","80,387.25","12.26M","1.17%"
"01-02-2026","80,722.94","82,388.97","82,726.65","79,899.42","20.51M","-1.88%"
"30-01-2026","82,269.78","81,947.31","82,430.82","81,941.03","13.94M","-0.36%"
"29-01-2026","82,566.37","82,368.96","82,689.96","81,707.94","23.52M","0.27%"
"28-01-2026","82,344.68","81,892.36","82,503.97","81,814.75","33.24M","0.60%"
"27-01-2026","81,857.48","81,436.79","82,084.92","81,088.59","26.95M","0.39%"
"23-01-2026","81,537.70","82,335.94","82,516.27","81,471.82","19.70M","-0.94%"
"22-01-2026","82,307.37","82,459.66","82,783.18","81,874.39","26.49M","0.49%"
"21-01-2026","81,909.63","81,794.65","82,407.05","81,124.45","13.19M","-0.33%"
"20-01-2026","82,180.47","83,207.38","83,254.28","82,010.58","13.00M","-1.28%"
"19-01-2026","83,246.18","83,494.49","83,539.93","82,898.31","14.22M","-0.39%"
"16-01-2026","83,570.35","83,670.79","84,134.97","83,456.50","22.80M","0.23%"
"14-01-2026","83,382.71","83,358.54","83,809.98","83,185.20","14.10M","-0.29%"
"13-01-2026","83,627.69","84,079.32","84,258.03","83,262.79","14.22M","-0.30%"
"12-01-2026","83,878.17","83,435.31","83,962.33","82,861.07","9.30M","0.36%"
"09-01-2026","83,576.24","84,022.09","84,406.22","83,402.28","12.49M","-0.72%"
"08-01-2026","84,180.96","84,778.02","84,965.27","84,110.10","26.32M","-0.92%"
"07-01-2026","84,961.14","84,620.40","85,075.99","84,617.49","19.23M","-0.12%"
"06-01-2026","85,063.34","85,331.14","85,397.78","84,900.10","23.25M","-0.44%"
"05-01-2026","85,439.62","85,640.05","85,883.50","85,315.33","12.59M","-0.38%"
"02-01-2026","85,762.01","85,259.36","85,812.27","85,068.88","17.86M","0.67%"
"01-01-2026","85,188.60","85,255.55","85,451.70","85,101.52","20.60M","-0.04%"
"31-12-2025","85,220.60","84,793.58","85,437.17","84,705.57","11.62M","0.64%"
"30-12-2025","84,675.08","84,600.99","84,806.99","84,470.94","6.95M","-0.02%"
"29-12-2025","84,695.54","85,004.75","85,250.00","84,637.86","53.31M","-0.41%"
