"Date","Price","Open","High","Low","Vol.","Change %"
"18-05-2026","75,315.04","74,807.97","75,462.62","74,193.24","16.11M","0.10%"
"15-05-2026","75,237.99","75,497.10","75,870.36","75,139.41","15.22M","-0.21%"
"14-05-2026","75,398.72","74,947.12","75,681.88","74,526.77","35.83M","1.06%"
"13-05-2026","74,608.98","74,439.34","75,191.57","74,134.48","18.20M","0.07%"
"12-05-2026","74,559.24","75,688.39","75,741.96","74,449.50","15.16M","-1.92%"
"11-05-2026","76,015.28","76,638.09","76,678.52","75,957.40","23.90M","-1.70%"
"08-05-2026","77,328.19","77,631.94","77,647.44","77,146.43","13.23M","-0.66%"
"07-05-2026","77,844.52","78,339.24","78,384.70","77,713.21","21.45M","-0.15%"
"06-05-2026","77,958.52","77,424.36","78,022.78","76,773.25","14.99M","1.22%"
"05-05-2026","77,017.79","77,103.72","77,151.33","76,515.03","14.47M","-0.33%"
"04-05-2026","77,269.40","77,257.27","77,910.75","76,939.54","69.16M","0.46%"
"30-04-2026","76,913.50","77,014.21","77,254.33","76,258.86","27.86M","-0.75%"
"29-04-2026","77,496.36","77,245.83","77,982.51","77,136.20","17.88M","0.79%"
"28-04-2026","76,886.91","77,094.79","77,493.53","76,741.06","16.84M","-0.54%"
"27-04-2026","77,303.63","76,856.05","77,420.04","76,754.20","21.20M","0.83%"
"24-04-2026","76,664.21","77,483.80","77,710.82","76,403.87","14.13M","-1.29%"
"23-04-2026","77,664.00","77,983.66","78,178.54","77,574.18","24.87M","-1.09%"
"22-04-2026","78,516.49","79,019.34","79,031.03","78,442.30","16.86M","-0.95%"
"21-04-2026","79,273.33","78,617.16","79,367.08","78,522.96","10.88M","0.96%"
"20-04-2026","78,520.30","78,632.90","78,942.45","78,203.30","13.24M","0.03%"
